la_district_code,la_district_name,domain,rank
E08000035,Leeds,Employment,90
E08000036,Wakefield,Employment,41
E08000037,Gateshead,Employment,26
E09000001,City of London,Employment,151
E09000002,Barking and Dagenham,Employment,13
E09000003,Barnet,Employment,89
E09000004,Bexley,Employment,116
E09000005,Brent,Employment,53
E09000006,Bromley,Employment,131
E09000007,Camden,Employment,73
E09000008,Croydon,Employment,59
E09000009,Ealing,Employment,67
E09000010,Enfield,Employment,31
E09000011,Greenwich,Employment,64
E09000012,Hackney,Employment,24
E09000013,Hammersmith and Fulham,Employment,93
E09000014,Haringey,Employment,35
E09000015,Harrow,Employment,114
E09000016,Havering,Employment,101
E09000017,Hillingdon,Employment,95
E09000018,Hounslow,Employment,76
E09000019,Islington,Employment,34
E09000020,Kensington and Chelsea,Employment,124
E09000021,Kingston upon Thames,Employment,140
E09000022,Lambeth,Employment,78
E09000023,Lewisham,Employment,43
E09000024,Merton,Employment,125
E09000025,Newham,Employment,49
E09000026,Redbridge,Employment,92
E09000027,Richmond upon Thames,Employment,148
E09000028,Southwark,Employment,68
E09000029,Sutton,Employment,119
E09000030,Tower Hamlets,Employment,61
E09000031,Waltham Forest,Employment,60
E09000032,Wandsworth,Employment,135
E09000033,Westminster,Employment,97
E10000003,Cambridgeshire,Employment,137
E10000007,Derbyshire,Employment,84
E10000008,Devon,Employment,105
E10000011,East Sussex,Employment,71
E10000012,Essex,Employment,112
E10000013,Gloucestershire,Employment,126
E10000014,Hampshire,Employment,136
E10000015,Hertfordshire,Employment,129
E10000016,Kent,Employment,87
E10000017,Lancashire,Employment,75
E10000018,Leicestershire,Employment,133
E10000019,Lincolnshire,Employment,79
E10000020,Norfolk,Employment,85
E10000024,Nottinghamshire,Employment,83
E10000025,Oxfordshire,Employment,147
E10000028,Staffordshire,Employment,102
E10000029,Suffolk,Employment,108
E10000030,Surrey,Employment,145
E10000031,Warwickshire,Employment,121
E10000032,West Sussex,Employment,123
E10000034,Worcestershire,Employment,106
E06000001,Hartlepool,Education,41
E06000002,Middlesbrough,Education,13
E06000003,Redcar and Cleveland,Education,59
E06000004,Stockton-on-Tees,Education,85
E06000005,Darlington,Education,71
E06000006,Halton,Education,40
E06000007,Warrington,Education,125
E06000008,Blackburn with Darwen,Education,11
E06000009,Blackpool,Education,4
E06000010,"Kingston upon Hull, City of",Education,3
E06000011,East Riding of Yorkshire,Education,103
E06000012,North East Lincolnshire,Education,23
E06000013,North Lincolnshire,Education,46
E06000014,York,Education,134
E06000015,Derby,Education,39
E06000016,Leicester,Education,2
E06000017,Rutland,Education,149
E06000018,Nottingham,Education,12
E06000019,"Herefordshire, County of",Education,78
E06000020,Telford and Wrekin,Education,52
E06000021,Stoke-on-Trent,Education,5
E06000022,Bath and North East Somerset,Education,137
E06000023,"Bristol, City of",Education,73
E06000024,North Somerset,Education,106
E06000025,South Gloucestershire,Education,108
E06000026,Plymouth,Education,45
E06000027,Torbay,Education,20
E06000030,Swindon,Education,57
E06000031,Peterborough,Education,14
E06000032,Luton,Education,8
E06000033,Southend-on-Sea,Education,65
E06000034,Thurrock,Education,34
E06000035,Medway,Education,32
E06000036,Bracknell Forest,Education,120
E06000037,West Berkshire,Education,128
E06000038,Reading,Education,66
E06000039,Slough,Education,33
E06000040,Windsor and Maidenhead,Education,143
E06000041,Wokingham,Education,150
E06000042,Milton Keynes,Education,90
E06000043,Brighton and Hove,Education,111
E06000044,Portsmouth,Education,29
E06000045,Southampton,Education,36
E06000046,Isle of Wight,Education,38
E06000047,County Durham,Education,49
E06000049,Cheshire East,Education,135
E06000050,Cheshire West and Chester,Education,114
E06000051,Shropshire,Education,99
